"x1(PinA0)_x","x1(PinA0)_y"
0,-2.7320592,
1e-05,-3.462919788,
2e-05,-7.482653024,
3e-05,-8.944374201,
4e-05,-10.04066508,
5e-05,-10.40609538,
6e-05,-11.86781655,
7e-05,-10.40609538,
8e-05,-10.04066508,
9e-05,-10.40609538,
0.0001,-8.578943906,
0.00011,-5.655501553,
0.00012,-4.924640965,
0.00013,-1.635768317,
0.00014,-0.1740471405,
0.00015,3.845686095,
0.00016,3.480255801,
0.00017,5.672837566,
0.00018,6.03826786,
0.00019,7.134558743,
0.0002,7.865419331,
0.00021,10.0580011,
0.00022,7.865419331,
0.00023,9.692570802,
0.00024,7.865419331,
0.00025,8.230849625,
0.00026,7.134558743,
0.00027,5.672837566,
0.00028,4.576546684,
0.00029,2.749395213,
0.0003,2.018534625,
0.00031,0.922243742,
0.00032,-1.635768317,
0.00033,-2.366628906,
0.00034,-4.559210671,
0.00035,-4.924640965,
0.00036,-8.944374201,
0.00037,-8.578943906,
0.00038,-9.309804495,
0.00039,-10.40609538,
0.0004,-12.59867714,
0.00041,-9.309804495,
0.00042,-9.675234789,
0.00043,-7.482653024,
0.00044,-6.386362141,
0.00045,-4.559210671,
0.00046,-0.9049077289,
0.00047,-0.1740471405,
0.00048,0.922243742,
0.00049,3.845686095,
0.0005,4.941976978,
0.00051,5.672837566,
0.00052,7.865419331,
0.00053,9.692570802,
0.00054,9.692570802,
0.00055,9.327140508,
0.00056,9.327140508,
0.00057,8.961710214,
0.00058,8.59627992,
0.00059,5.672837566,
0.0006,4.941976978,
0.00061,4.941976978,
0.00062,2.749395213,
0.00063,1.65310433,
0.00064,0.922243742,
0.00065,-1.270338023,
0.00066,-3.097489494,
0.00067,-3.828350082,
0.00068,-6.751792436,
0.00069,-6.751792436,
0.0007,-9.675234789,
0.00071,-9.675234789,
0.00072,-11.50238626,
0.00073,-11.13695597,
0.00074,-11.50238626,
0.00075,-9.309804495,
0.00076,-8.213513612,
0.00077,-6.751792436,
0.00078,-4.924640965,
0.00079,-2.366628906,
0.0008,0.922243742,
0.00081,1.65310433,
0.00082,3.845686095,
0.00083,4.941976978,
0.00084,6.403698155,
0.00085,7.865419331,
0.00086,8.59627992,
0.00087,9.692570802,
0.00088,9.692570802,
0.00089,10.0580011,
